Año,Trimestre,Tipo_entidad,Nombre_entidad,Procedimiento,Tipo de contrato,Número,Importe
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Gestió Serveis Públics/Concessions,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Privats de l'Administració,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,1.0,110133.05
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,67.0,34934928.8
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,12.0,3720403.43
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Gestió Serveis Públics/Concessions,1.0,700000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,15.0,1953868.88
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,10.0,397700.94
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,8.0,616911.69
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,3.0,209825.8
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,20.0,767204.5
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,9.0,390138.14
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Serveis,3.0,56340000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Subministraments,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,2.0,125000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Serveis,3.0,100000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Subministraments,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Serveis,6.0,1327007.35
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Subministraments,1.0,22087.28
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Privats de l'Administració,1.0,38108.95
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Serveis,81.0,3638576.49
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Subministraments,13.0,39950.33
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Obres,75.0,2851709.07
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Serveis,411.0,3559869.84
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Subministraments,76.0,613998.87
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Privats de l'Administració,1.0,11979.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Serveis,8.0,1339075.01
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Subministraments,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Serveis,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Subministraments,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Serveis,72.0,113883.32
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Subministraments,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Administratius especials,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Obres,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Serveis,8.0,1339075.01
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Subministraments,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Gestió Serveis Públics/Concessions,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Privats de l'Administració,0.0,0.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Administratius especials,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,1.0,2619474.16
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,63.0,17701929.22
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,6.0,2928293.76
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Gestió Serveis Públics/Concessions,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Privats de l'Administració,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Administratius especials,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,17.0,2691107.67
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,22.0,1048560.04
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,12.0,769877.59
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Privats de l'Administració,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Administratius especials,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,1.0,44777.26
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,13.0,436376.18
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,14.0,446890.82
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Privats de l'Administració,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Administratius especials,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Obres,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Serveis,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Subministraments,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,1.0,45192.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Privats de l'Administració,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Administratius especials,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Obres,0.0,0.0
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Serveis,0.0,0.0
