unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte de Ciutat Vella,Serveis,22001793,2022,MV Accessibilitat guals Barcelona,3267.0,2022-05-26,2022-07-26,ECSA ENGINYERIA SLP,B66939778
Districte de Les Corts,Serveis,22001871,2022,REDACCIÓ PROJECTE EXECUTIU RENOVACIO 2 VORERES DTE,4114.0,2022-05-30,2022-07-29,ECSA ENGINYERIA SLP,B66939778
Districte de l'Eixample,Serveis,22002004,2022,Redac.proj nova àrea esbarjo per a gossos Av.Roma,8215.9,2022-06-07,2022-12-31,ECSA ENGINYERIA SLP,B66939778
Gerència de Recursos,Privat d'Administració Pública,22001148,2022,Subscripcions corporatives Ara 2022,24985.36,,,EDICIO DE PREMSA PERIODICA ARA,B65258261
Gerència de Recursos,Privat d'Administració Pública,22001440,2022,Subscripcions El País 2022,20526.0,,,"EDICIONES EL PAIS, SL",B85635910
Districte de Les Corts,Serveis,22001688,2022,Rutes Les Corts 2022,15400.0,2022-05-18,2023-04-30,EDITORIAL ALPHA SL,B08013781
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22001425,2022,Accions de recerca participada,11797.5,2022-05-02,2022-05-31,"EDUSCOPI, SL",B66524836
Districte de l'Eixample,Serveis,22001084,2022,Redacció 6 projectes de millora paviment voreres,11979.0,,,"EGARTOP, S.L.",B67075887
Gerència de Recursos,Privat d'Administració Pública,22000822,2022,Subscripcions corporatives Mundo deportivo 2022,1304.0,,,"EL MUNDO DEPORTIVO, SA",A59114082
Gerència d'Area d'Ecologia Urbana,Serveis,22002048,2022,"Coord.gral, secretaria tècn. i regidoria FestaBici",18114.18,2022-06-17,2022-12-31,EL PRINCIPI D'OCCAM SL,B66999376
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22002065,2022,Submin i instal armari carrer Escudellers,3429.9,2022-06-21,2022-08-31,ELECNOR SEGURIDAD SL,B83680132
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001992,2022,Subministrament SAI sist CCTV Maria Cristina,9432.17,2022-06-14,2022-09-30,ELECNOR SERVICIOS Y PROYECTOS,A79486833
Districte de Ciutat Vella,Obres,22002185,2022,Lavabo local carrer REC 27,18801.06,2022-06-22,2022-08-31,ELECTRA SERVEIS INTEGRALS 2007,B64636475
Districte de Gràcia,Serveis,22001414,2022,Revisió equips audiovisuals equipaments Dte Gràcia,1161.6,2022-04-29,2022-12-31,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de Nou Barris,Subministraments,22001519,2022,SISTEMA VIDEOCONFERÈNCIA I TRANSMISIÓ SEU DTE. 9B,18110.8,2022-05-13,2022-07-15,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de l'Eixample,Serveis,22001753,2022,Estudi equipaments retransmissions via streaming,1161.6,2022-06-14,2022-12-31,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de Ciutat Vella,Serveis,22001768,2022,Anàlisi equipam. retransmissions via streaming CV,2090.88,2022-06-01,2022-07-30,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de Sarrià - Sant Gervasi,Serveis,22001885,2022,Realització audiovisual sessió 1.JUN CC Elèctric,1640.76,2022-05-31,2022-06-02,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001979,2022,Coordinació tècnica presentació articles CACS,5800.74,2022-06-20,2022-07-31,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de Sant Martí,Subministraments,22002201,2022,Subministrament ventiladors i aire condicionat,363.0,2022-07-05,2022-08-04,"ELECTRO-BASANT, S.A.",A08912313
Gerència de l'Arquitecte en Cap,Serveis,22001267,2022,Restauració i transport maqueta Barcelona,5989.5,2022-04-20,2022-06-21,ELETRES LAAN MAQUETAS Y DISEÑO,B17987439
Gerència d'Urbanisme,Serveis,22002148,2022,Assessoria planejament innovació teixits productiu,16940.0,2022-06-20,2022-12-31,EMPODERA CONSULTORES SL,B98338486
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001063,2022,Inspeccions dels SAI de Sala Conjunta Comandament,4118.84,2022-04-08,2022-12-31,ENDATA SL,B60907227
Districte de Nou Barris,Obres,22002172,2022,OBRES D'ENDERROC MUR PERIMETRAL ÀNTIC CF DAMM,48375.64,2022-06-22,2022-08-22,ENDERROCS I ABOCAMENTS SL,B61865457
Gerència de Recursos,Subministraments,22001897,2022,"Submi gas natural ""Canide"" i ed acollida Z Franca",14248.43,2022-07-01,2022-12-31,ENDESA ENERGIA S.A. SOC.UNIP.,A81948077
Gerència de Recursos,Obres,22001538,2022,Instal·lació màquina aire acondicionat CAACB,2621.8,,,ENGINYERIA EMSER SL,B62724372
Districte de Ciutat Vella,Subministraments,22001970,2022,Adq. mobiliari CJ Palau Alòs i Seu Districte CV,4681.01,,,"ENGINYERIA, MUNTATGE I EQUIPAM",B60757192
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001073,2022,Ajustament i verificació instal·lacions U.Muntada,10214.82,2022-04-08,2022-12-31,EQUUS LIFE S.L.,B65382780
Districte de l'Eixample,Subministraments,22001545,2022,Adquisició de mobiliari per C.C. Cotxeres Borrell,2636.11,2022-06-14,2022-12-31,ERGOKIDS SL,B66113937
Districte de Nou Barris,Subministraments,22001624,2022,SUBMINISTRE I MUNTATGE MOBILIARI CC ATENEU BÒBILA,18010.18,2022-05-20,2022-07-25,ERGOKIDS SL,B66113937
Gerència de Pressupostos i Hisenda,Serveis,22000881,2022,contracte de formació sobre consolidació financera,13068.0,,,ERNST & YOUNG,B78970506
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22002174,2022,Revisió justificacions Ministerio de Cultura y Dep,6714.29,2022-06-27,2022-12-31,ERNST & YOUNG,B78970506
Districte de Sant Andreu,Serveis,22002133,2022,COORD. S I S ACTUACIONS PRL RISCOS ALTS,1331.0,2022-06-20,2022-12-31,"E-SCENTIA GLOBAL, SOCIEDAD LIM",B66074402
