unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte de Gràcia,Serveis,22000078,2022,Facilitar l'accés a l'esplai Matinada,1138.0,2022-01-14,2022-12-31,DOBLE VIA (SERVEIS SOCIOEDUCAT,F62011812
Districte de Nou Barris,Serveis,22000995,2022,CONCERTS DE FLAMENCO R(OLES) A CASA DE L’AIGUA,9859.0,2022-03-28,2022-07-29,DONA CANÇO,G66133497
Gerència de Recursos,Serveis,22000207,2022,Redac proj reparació humitats pati Anselm Clave 31,6043.95,,,DOSGEUVEARQUITECTURA SLP,B63676738
Districte de Nou Barris,Subministraments,22001083,2022,CINTA ABALISAMENT FONS BLANC 1 COLOR 1 CARA,991.23,2022-04-01,2022-05-02,"DOUBLET IBERICA, S.A.",A58890682
Districte de Sant Andreu,Subministraments,22000738,2022,Subministrament equipament vestuari laboral PPOO,5125.45,2022-03-07,2022-12-31,"DOX STYLE , SL",B64043714
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000528,2022,distribució cartells botellot,2395.8,2022-02-23,2022-02-28,"DROPEL XXI,S.L",B62395058
Districte de Nou Barris,Serveis,22000664,2022,DIA MUNDIAL DE L'ACTIVITAT FÍSICA,888.91,2022-02-28,2022-04-29,DUET COTXERES DE BORBO  S.A.,A65205387
Districte de Les Corts,Serveis,22000967,2022,REDACCIÓ PROJECTE EXECUTIU SEMÀFOR C.CARDENAL REIG,4235.0,2022-03-28,2022-04-25,"EACOM ENGINYERS I ARQUITECTES,",A60997665
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000642,2022,manteniment 75 llicències pin pad per la GUB,15077.21,2022-03-03,2022-12-31,ECOPAYNET SERVICES & SOLUTIONS,B66664616
Districte de Ciutat Vella,Serveis,22000286,2022,DO+CSS serveis Àngels-Egipcíaques,2480.5,2022-01-27,2022-02-28,ECSA ENGINYERIA SLP,B66939778
Districte de Ciutat Vella,Serveis,22000298,2022,MV Cordó serveis Àngels-Egipcíaques,2178.0,2022-01-28,2022-03-31,ECSA ENGINYERIA SLP,B66939778
Districte de Ciutat Vella,Serveis,22000401,2022,Estudis previs noves àrees DUM Barceloneta CV,5445.0,2022-02-11,2022-06-30,ECSA ENGINYERIA SLP,B66939778
Districte de Ciutat Vella,Serveis,22000402,2022,DO Noves àrees DUM Raval CV,5929.0,2022-02-11,2022-05-13,ECSA ENGINYERIA SLP,B66939778
Gerència de Recursos,Privat d'Administració Pública,22000317,2022,Subscripció base de dades Francis Lefebvre 2022,14188.02,,,EDICIONES FRANCIS LEFEBVRE,A79216651
Gerència de Recursos,Privat d'Administració Pública,22000143,2022,Subscripció bases de dades Aranzadi 2022,72178.74,,,"EDITORIAL ARANZADI, S.A. (SOC.",A81962201
Gerència de Recursos,Privat d'Administració Pública,22000319,2022,Subscripció base de dades Tirant Online 2022,2783.0,,,EDITORIAL TIRANT LO BLANCH S L,B46091179
Gerència de Recursos,Serveis,22000720,2022,Estudi global de les condicions de treball,2117.5,,,EGARSAT PREVENCIÓ,B64734528
Districte de Ciutat Vella,Serveis,22000844,2022,Servei suport capacitació digital als veïns CAntic,8944.0,2022-03-16,2022-06-30,EI! CASC ANTIC (ESPAI INCLUSIÓ,G58673807
Gerència de Recursos,Privat d'Administració Pública,22000655,2022,Subscripcion corporatives Periódico 2022,31087.98,,,EL PERIODICO DE CATALUNYA SLU,B66485343
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000371,2022,Servei de supervisió i de garantia del sist. CCAA,9044.23,,2022-07-31,ELECNOR SEGURIDAD SL,B83680132
Districte de Nou Barris,Serveis,22000405,2022,MANTENIMENT SIST. CCTV SEU DISTRICTE NOU BARRIS,2493.4,2022-02-09,2022-12-31,ELECNOR SEGURIDAD SL,B83680132
Districte de Nou Barris,Serveis,22000126,2022,INTEGRACIÓ NOVES CÀMERES REGIDORIA A UT8 NB,2291.74,2022-01-20,2022-02-21,ELECNOR SERVICIOS Y PROYECTOS,A79486833
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000370,2022,Servei de supervisió i de garantia del sist. CCTV,9044.23,,2022-07-31,ELECNOR SERVICIOS Y PROYECTOS,A79486833
Districte de Sarrià - Sant Gervasi,Serveis,22000013,2022,Enregistrament audiovisual d'actes,3760.68,2022-01-05,2022-03-31,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de Nou Barris,Serveis,22000285,2022,ASSIST. TÈCNICA AUDIOVISUAL DIST. NOU BARRIS 2022,5823.13,2022-01-28,2022-12-31,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Districte de Les Corts,Subministraments,22001116,2022,SUMINISTR. I INSTAL. DOS MONITORS SALA DE PLENS,8327.22,2022-04-01,2022-05-31,"ELECTRO ACUSTICA CONDAL, S.A.",A08866592
Gerència de Recursos,Subministraments,22000965,2022,Compra de 2 faristols per a Actes Institucionals,12705.0,,,"EMILIANA DESING STUDIO, SL",B62779244
Districte de Nou Barris,Subministraments,22000127,2022,SUBMIN. MATERIAL OFICINA NO HOMOL. NOU BARRIS,3500.0,2022-01-20,2022-12-31,"EMILIO SEGARRA, SA",A08874661
Districte de Gràcia,Serveis,22000659,2022,Emissions streaming ràdio gràcia,2758.8,2022-02-24,2022-12-31,"EN ANTENA PRODUCCIONS, SL",B62608229
Gerència de Recursos,Serveis,22000612,2022,Enquadernació llibre registre.,319.44,,,"ENCUADERNADORA RAPID, S.C.C.L.",F62243597
Gerència de Mobilitat i Infraestructures,Serveis,22001012,2022,Servei redacció acta i planols adscrició Port Olim,5445.0,2022-03-28,2022-04-30,ENGINYERIA REVENTOS S.L.,B60907037
Gerència d'Urbanisme,Serveis,22000479,2022,Estudis previs MPGM Sigüenza,17424.0,2022-02-21,2022-04-30,EQUIP BCPN SL,B62395652
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22000707,2022,Revisió justificacions Ministerio de Cultura y Dep,11434.5,2022-03-02,2022-03-25,ERNST & YOUNG,B78970506
Districte de Les Corts,Serveis,22000461,2022,Acció participativa Impuls Pla Director Campus Sud,2226.4,2022-02-21,2022-09-01,ESPAI D'ANALISI SOCIAL SL,B62569108
Districte de Sants-Montjuïc,Serveis,22001090,2022,Redacció d’actes d’òrgans de participació,14762.0,2022-04-05,2022-12-31,ESPAI D'ANALISI SOCIAL SL,B62569108
Districte d' Horta-Guinardó,Serveis,22000469,2022,ESTUDI VIABILITAT CEM MUNDET,1210.0,2022-03-02,2022-12-31,ESPORT I GESTIÓ ALT TER SLNE,B64457336
Districte de Nou Barris,Serveis,22000368,2022,SUPORT AL CASAL DE GENT GRAN CASA NOSTRA,10000.32,2022-02-07,2022-08-08,ESPORT3 SERVEIS ALTERNATIUS SL,B62068713
Districte de Sants-Montjuïc,Serveis,22000974,2022,Servei de gestió apartaments de gent gran la Capa,13658.6,2022-03-26,2022-09-09,ESPORT3 SERVEIS ALTERNATIUS SL,B62068713
Gerència de Mobilitat i Infraestructures,Serveis,22000427,2022,Requeriments pèrgoles Via Favència,7865.0,2022-02-21,2022-03-22,ESTUDI D'ARQUITECTURA CODI S.C,J63581193
Districte de Sarrià - Sant Gervasi,Serveis,22001004,2022,CSS reparació tram sup.paviment al c.Santpedor,590.72,2022-03-25,2022-04-30,ESTUDI TECNIC CONSTRUCCIO CATA,B17433806
Districte de Gràcia,Obres,22000229,2022,Obres àrea de jocs infantils de pl. Poble Romaní,34233.77,2022-02-10,2022-02-24,EUROCATALANA OBRES I SERVEIS S,B62554035
Gerència Medi Ambient i Serveis Urbans,Serveis,22000546,2022,Assist. tècn. anàlisi actuacions Pla Residu Zero,17271.54,2022-03-21,2022-09-20,F.PRIV.CAT.PREVENCIO RESIDUS/C,G64007404
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000369,2022,Submin. fundes vermelles monitors galeries tir GUB,2576.39,,2022-12-31,FABRICA ESPAÑOLA DE CONFECCION,A28030062
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000597,2022,Submin. equips de protecció antibales GUB,10697.91,2022-03-03,2022-12-31,FABRICA ESPAÑOLA DE CONFECCION,A28030062
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000584,2022,Curs teòric-pràctic d’immersions amb descompressió,3560.0,2022-03-02,2022-12-31,FEDERACIO CATALANA D'ACTIVITAT,Q5855006B
Gerència Persones i Desenv. Organitzatiu,Serveis,22000652,2022,Servei d'interpretació de llengua de signes,889.92,,,FEDERACIO DE SORDS DE CATALUNY,G08621922
Gerència de l'Arquitecte en Cap,Serveis,22000936,2022,Estudis d'ordenació parcel·la Edifici ONA,18029.0,2022-03-28,2022-06-29,FLEXO ARQUITECTURA SLP,B63900328
Gerència de Recursos,Obres,22000719,2022,Substitució bescanviador sist prod calor C Cons,35010.07,,,FLUIDOS INDUSTRIALES Y DOMESTI,A58081134
Districte de Nou Barris,Serveis,22000373,2022,DISSENY I MAQUETACIÓ PRODUCTES COMUNICACIÓ 2022,7999.92,2022-02-07,2022-12-31,"FONS GRAFIC, S.L.",B60434818
Districte de Gràcia,Serveis,22000257,2022,"Manteniment jardineria pl. Sol i seu Dte, feb-abr",6043.95,2022-02-01,2022-04-30,"FORMACIÓ I TREBALL,EMPRESA D'I",B64044837
Districte de Nou Barris,Obres,22000937,2022,OBRES VENTILACIO FORÇADA POLIESPORTIU VALLDAURA,39397.32,2022-03-23,2022-06-30,"FUDOSAN, SL",B60505864
Districte d' Horta-Guinardó,Serveis,22000721,2022,Comunicació accesible Plenaris i Audiències,13769.25,2022-03-08,2022-12-31,FUND. PRIVADA DESENV.COMUNITAR,G64373608
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000768,2022,Lloguer espai Jornada de reconeixement BPS,2076.66,2022-03-31,2022-04-02,FUND.PRIVAD.INSTITUT D'EDUCACI,G60414182
Gerència Municipal,Serveis,22000499,2022,Projecte Mirada Blava,9680.0,,,FUNDACIO BOSCH I GIMPERA,G08906653
Districte de Sarrià - Sant Gervasi,Serveis,22000579,2022,Servei de catering per a fer un aperitiu,604.73,2022-03-05,2022-03-05,FUNDACIÓ CANPEDRÓ,G60739984
Gerència de Recursos,Serveis,22000554,2022,Màster en Direcció Pública,13410.0,,,FUNDACIO ESADE,G59716761
Districte de Gràcia,Serveis,22000450,2022,Dinamització i suport tècnic Casal Comunitari Coll,9516.47,2022-02-16,2022-12-31,FUNDACIO FRANCESC FERRER I GUA,G58506981
Districte de Gràcia,Serveis,22000451,2022,Dinamització acció comunitària El Coll,17960.01,2022-03-04,2022-12-31,FUNDACIO FRANCESC FERRER I GUA,G58506981
Districte de Les Corts,Serveis,22000845,2022,SERVEI DE LOGÍSTICA PER LA PRESENTACIÓ DEL 18è CIM,681.23,2022-03-16,2022-03-17,FUNDACIO GRAN TEATRE DEL LICEU,G60754223
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001031,2022,Règim de Funcionament dels Casals i Espais GG,14641.0,2022-03-30,2022-12-31,FUNDACIÓ INSTITUT CATALÀ ENVEL,G63202071
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000883,2022,Suport a persones afectades per escletxa digital,16970.25,,,FUNDACIÓ PERE TARRÉS,R5800395E
Districte de Sants-Montjuïc,Serveis,22000534,2022,Neteja publicitària als carrers del Poble-sec,7766.07,2022-02-26,2022-12-31,FUNDACIO PRIV.ARTESA PER INTEG,G62299029
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000539,2022,Formació física GUB CEM Can Caralleu,1237.2,,2022-12-31,FUNDACIO PRIVADA CLAROR,G59080259
Districte de Nou Barris,Subministraments,22000232,2022,SUBMIN. CONSUMIBLES INFORMÀTICA NO HOMOL. N BARRIS,3999.99,2022-02-03,2022-12-31,FUNDACIO PRIVADA MAP,G17414905
Districte de Nou Barris,Subministraments,22000244,2022,SUBMINISTR. MATERIAL OFICINA NO HOMOL. NOU BARRIS,2000.0,2022-02-01,2022-12-31,FUNDACIO PRIVADA MAP,G17414905
Districte de Nou Barris,Serveis,22000372,2022,TALLERS DE MEMÒRIA,1515.0,2022-02-07,2022-12-31,FUNDACIO PRIVADA USZHEIMER,G62957212
Gerència Municipal,Serveis,22000812,2022,Proposta tecnològica oferta educativa litoral,12342.0,,,FUNDACIO TECNOCAMPUS MATARO-MA,G62034111
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000857,2022,Matricula Curs en Protecció de dades i transparènc,1240.0,2022-03-22,2022-08-31,FUNDACIÓ UNIVERSITAT AUTONOMA,G61612925
Districte de Sants-Montjuïc,Serveis,22000545,2022,Protocol de protecció i prevenció d’abusos sexuals,3460.6,2022-02-26,2022-12-31,FUNDACIÓ VICKI BERNADET,G64216385
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000955,2022,Organització acte lliurament premi 8M 2022,2122.34,2022-03-19,2022-03-20,"G.S. LLEM, S.L. -GRUP SERVEIS-",B60220209
Districte de Sants-Montjuïc,Serveis,22000081,2022,Auditories G.C. La Vinya i S. Cristofol 2021,3442.45,2022-04-01,2022-12-31,GABINETE TECNICO DE AUDITORIA,A58604745
Districte de Gràcia,Serveis,22000981,2022,Sonorització actes Biblioteca Jaume Fuster,1143.45,2022-03-25,2022-12-31,GABINETE TECNICO TELECOMUNICAC,B60816097
Districte de Gràcia,Serveis,22000047,2022,Facilitar l'accés a l'esplai Espurna,1848.95,2022-02-10,2022-12-31,"GARBUIX, SCCL",F61233193
Districte de Sant Martí,Subministraments,22000153,2022,Lloguer 22 fotocopiadores,2874.96,2022-01-19,2022-02-18,"GENERAL MACHINES TECHNOLOGY, S",B91509281
Districte de Sant Martí,Serveis,22000154,2022,Manteniment 22 fotocopiadores,1227.31,2022-01-19,2022-02-18,"GENERAL MACHINES TECHNOLOGY, S",B91509281
"Ger. Àrea Economia, Recursos i Prom.Eco",Privat d'Administració Pública,22000030,2022,Cessió de base dades consum dels anys 2018-2022,60439.5,,,"GEOBLINK, SL",B87239596
Districte de Ciutat Vella,Serveis,22000020,2022,Llicència software Deister,735.29,2022-01-11,2022-12-31,GESTIÓN EXTERNA DE APLICACIONE,A63507222
Gerència d'Urbanisme,Serveis,22000722,2022,NOTIFICACIÓ CEDULES TERRASSES 2022,14356.0,2022-03-14,2022-09-16,GESTION TRIBUTARIA TERRITORIAL,A81957367
Districte de Sarrià - Sant Gervasi,Serveis,22000358,2022,Serv. aux. de ctrl d'accessos a la seu del Dte V,2061.84,2022-03-02,2022-12-31,GLOBAL ATTENTIVE SL,B67120196
Districte d' Horta-Guinardó,Serveis,22000235,2022,Servei valoració econòmica José Millán González,580.8,2022-02-11,2022-02-18,GLOVAL VALUATION SA,A28903920
Districte de Ciutat Vella,Serveis,22001075,2022,Informe de valoració Mestres Casals Martorell,1161.6,2022-04-01,2022-04-12,GLOVAL VALUATION SA,A28903920
Gerència Medi Ambient i Serveis Urbans,Serveis,22001027,2022,Servei de missatgeria,2416.43,,,GRAN VIA COURIER SL,B64159098
Districte de Gràcia,Serveis,22000712,2022,Retirada materials amb amiant al parc Creueta Coll,5953.2,2022-04-13,2022-05-13,GRAVEDAD ZERO TRABAJOS VERTICA,B66816455
Districte de Sarrià - Sant Gervasi,Serveis,22000958,2022,Aixecaments topogràfics de 6 àmbits Collserola,6642.9,2022-03-23,2022-06-30,GRUPO NOVA CARTOGRAPHIA S.L.,B97703375
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000182,2022,"Estudi “Governança participativa destinacions""",6655.0,,,"GUBI CONSULTING, S.L.",B64980048
Gerència de Recursos,Privat d'Administració Pública,22000238,2022,Subscripcions corporatives Punt Avui 2022,8438.8,,,"HERMES COMUNICACIONS, SA.",A17374547
Districte de Ciutat Vella,Subministraments,22000855,2022,Adquisició equipament auxiliar per Ludoteca del Pi,1586.24,2022-03-22,2022-04-22,HERMEX IBERICA SL,B66629494
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000780,2022,Subminist.motor porta seccional nº6 PB Zona Franca,3659.57,2022-03-12,2022-05-31,"HÖRMANN ESPAÑA, S.A.",A58267378
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000668,2022,Subm. accessoris per llitera de rescat SPCPEIS,4916.59,2022-03-03,2022-12-31,HOSPITAL HISPANIA SL,B59078071
Gerència d'Àrea de Seguretat i Prevenció,Serveis,21004782,2022,Serveis veterinaris gossos Unitat Canina GUB,18149.99,2022-01-11,2022-12-31,HOSPITAL VETERINARI MONTJUIC S,B66588054
Districte de Sant Martí,Obres,22000830,2022,"Obres pavimentació solar C. Trinxant, 28",48391.0,2022-03-18,2022-05-18,HPC IBERICA SA,A58620808
Districte de Ciutat Vella,Subministraments,22000493,2022,Adquisició acces. informàt. instal. doble pantalla,4234.7,,,"I.D.GRUP, S.A.",A59367458
Districte de Ciutat Vella,Subministraments,22000946,2022,Adq. maquinari inventariable Seu i Subseu District,5569.03,2022-03-28,2022-04-28,"I.D.GRUP, S.A.",A59367458
Districte de Sarrià - Sant Gervasi,Subministraments,22000415,2022,EPI’s i materials plans ocupació Collserola 2022,5305.0,2022-02-14,2022-12-31,"IBERPROTEC, SL",B63974307
Gerència Municipal,Serveis,22000575,2022,Adquisició de dades Ciutats espanyoles,10744.8,,,IDENCITY ASESORIA DE CIUDADES,B65653230
Districte de Les Corts,Serveis,22000847,2022,SERVEIS DE MANTENIMENT I LLICÈNCIA D'ÚS SOFTWARE,413.82,2022-03-16,2022-12-31,IFBLE SOLUCIONES SL,B66768888
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000541,2022,Formació fisica GUB Cem Olímpics,2544.92,2022-02-23,2022-12-31,"IGE BCN, S.L.",B61355616
Districte de Ciutat Vella,Serveis,22000860,2022,Acondicionament cablatge nous espais de treball,1558.61,2022-03-16,2022-04-16,"IMPALA NETWORK SOLUTIONS, S.L.",B60696721
Districte de Nou Barris,Serveis,22000807,2022,CONSULTORIA ANÀLISI INICIATIVES PROMOCIÓ ECONÒMICA,16698.0,2022-03-11,2022-12-31,IMPENTO SL,B63979405
Districte de Les Corts,Subministraments,22000621,2022,SUBMINISTRAMENT LLIBRETES PROMOCIONALS,3444.87,2022-02-23,2022-04-01,IMPRENTAS DIGITALES BADALONA,B67522995
Gerència de Recursos,Privat d'Administració Pública,22000267,2022,Subscripció a la base de dades Informa 2022,12029.82,,,INFORMA D&B,A80192727
Gerència Medi Ambient i Serveis Urbans,Serveis,22000699,2022,explotació de dades recollides pels dispositius de,18148.79,2022-03-16,2023-12-31,INGENIERIA PARA EL CONTROL DEL,B60673860
Districte de l'Eixample,Serveis,22000802,2022,Redac.proj legalitzacio ampliació instal·electr.GU,4193.28,,,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Districte de Nou Barris,Serveis,22000939,2022,D.O ADEQUACIÓ CAMPS FUTBOL GUINEUETA-PORTA DTE 9B,6882.48,2022-03-23,2022-09-30,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Districte de Nou Barris,Serveis,22000941,2022,RED PROJ ADEQ SORTIDES EMERGENCIA CF TURO PEIRA,3441.24,2022-03-23,2022-06-30,INGENIERIA Y SISTEMAS INTEGRAL,B62311725
Gerència de Recursos,Subministraments,22000550,2022,Subministrament material streaming CCons,5962.64,,,INICIATIVES EVENTS SL,B64709363
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000914,2022,suport tècnic Jornades Caring Cities,12112.66,2022-03-18,2022-05-13,INICIATIVES EVENTS SL,B64709363
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22000757,2022,Serveis per la Jornada Àrea CECC 2022,4900.5,2022-03-11,2022-03-15,INICIATIVES I DINAMIQUES COMUN,B63912026
Districte d' Horta-Guinardó,Serveis,22000490,2022,SERVEI DE MEDIACIÓ,5910.85,2022-03-02,2022-12-31,"INICIATIVES I PROGRAMES,S.L.",B59545913
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000782,2022,Submin.5 vestits representació escala superior GUB,1769.55,2022-03-12,2022-06-30,INSIGNA UNIFORMES SL,B97611164
Districte de Ciutat Vella,Subministraments,22000394,2022,Adquisició taula regulable Seu Districte CV,1012.29,2022-02-15,2022-03-15,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Ciutat Vella,Subministraments,22000682,2022,Adq. cadires d'oficina sala annexa Ramelleres,2934.86,,,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Ciutat Vella,Subministraments,22000703,2022,Adq. electrodomèstics dif. equip. Districte,3406.26,2022-03-04,2022-04-04,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Gerència de Recursos,Subministraments,22000927,2022,Compra cadires operatives,4474.77,2022-03-25,2022-06-27,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de Ciutat Vella,Subministraments,22000957,2022,Adq. taula treball sala annexa Ramelleres,369.78,2022-03-28,2022-04-28,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Districte de l'Eixample,Subministraments,22001021,2022,Subministració i col·locació de mampares,7735.53,,,INSTAL. INTEGR.I EQUIP. PER L',B62865472
Gerència Municipal,Serveis,22000164,2022,Anàlisi dades fiscals amb perspectiva de gènere,17545.0,,,INSTITUT D'ECONOMIA DE BARCELO,G64842446
Districte de Sarrià - Sant Gervasi,Serveis,22000005,2022,Mant. jardins del Centre Cívic Pere Pruna,1981.68,2022-01-11,2022-12-31,INSTITUT MUNICIPAL PARCS I JAR,P5801914B
Gerència de Mobilitat i Infraestructures,Serveis,22000444,2022,Repercussió del Codi Estructural,17566.78,2022-02-21,2022-03-21,INSTITUT TECNOLOGIA CONSTRUCC.,G08546665
Districte de Les Corts,Serveis,22000864,2022,SERVEIS AUXILIARS PTGE. C/TRIAS I GIRO I KEYNES,12741.3,2022-03-15,2023-03-14,INTEGRACIÓN SOCIAL MINUSVÁLIDO,B61098638
Districte de Sarrià - Sant Gervasi,Obres,22000069,2022,INST SIST SEG TRANS IMATGE ALARMA CASA TOSQUELLA,3295.14,2022-01-14,2022-03-31,INV PROTECCION SL,B85582013
Districte de Gràcia,Serveis,22000644,2022,Treballs d'adequació seguretat Casal Canals Junyer,4251.54,2022-03-01,2022-04-01,INV PROTECCION SL,B85582013
Gerència de Mobilitat i Infraestructures,Serveis,22000961,2022,AT Senyalització Contenidors,18119.75,2022-03-28,2022-12-31,"IPLAN GESTION INTEGRAL, SL",B64906845
Gerència de Mobilitat i Infraestructures,Serveis,22000339,2022,Redacció projecte executiu de senyalització Rondes,15730.0,2022-02-21,2022-04-20,"IPSVIAL, S.L.",B84050889
Gerència Medi Ambient i Serveis Urbans,Serveis,22000162,2022,Integració d’informació serveis manteniment,5445.0,2022-01-31,2022-12-31,"IPSVIAL, S.L.",B84050889
Gerència Municipal,Serveis,22000019,2022,Construcció indicadors PJG,8230.42,,,"IQCOOP, S.C.C.L.",F67347120
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000459,2022,Superv/garant. func.+rep. detectors gas SPCPEIS,5955.38,2022-02-23,2022-12-31,"ITURRI, S.A.",A41050113
Gerència de Pressupostos i Hisenda,Serveis,22001098,2022,Assessorament escenaris civils per no formalitz.,3630.0,,,"JANE ADVOCATS, SLP",B63143622
